object_id,cluster_id,rgb_value,occurence,r_value,g_value,b_value,h_value,s_value,v_value
199,Cluster2,"(180, 30, 45)",1,180,30,45,354,0.83,0.71
200,Cluster5,"(225, 105, 90)",1,225,105,90,6.67,0.6,0.88
200,Cluster1,"(165, 75, 60)",3,165,75,60,8.57,0.64,0.65
200,Cluster3,"(240, 165, 135)",1,240,165,135,17.14,0.44,0.94
200,Cluster4,"(105, 60, 45)",11,105,60,45,15,0.57,0.41
201,Cluster4,"(30, 45, 30)",11,30,45,30,120,0.33,0.18
205,Cluster2,"(135, 45, 30)",3,135,45,30,8.57,0.78,0.53
208,Cluster2,"(195, 150, 135)",5,195,150,135,15,0.31,0.76
209,Cluster2,"(30, 30, 45)",4,30,30,45,240,0.33,0.18
210,Cluster1,"(150, 60, 45)",1,150,60,45,8.57,0.7,0.59
210,Cluster4,"(180, 135, 105)",23,180,135,105,24,0.42,0.71
215,Cluster5,"(180, 120, 90)",6,180,120,90,20,0.5,0.71
215,Cluster3,"(195, 150, 120)",19,195,150,120,24,0.38,0.76
218,Cluster2,"(150, 45, 30)",3,150,45,30,7.5,0.8,0.59
225,Cluster1,"(150, 165, 180)",2,150,165,180,210,0.17,0.71
228,Cluster2,"(15, 75, 120)",1,15,75,120,205.71,0.88,0.47
229,Cluster1,"(120, 75, 60)",14,120,75,60,15,0.5,0.47
229,Cluster4,"(45, 75, 105)",3,45,75,105,210,0.57,0.41
230,Cluster5,"(210, 165, 90)",5,210,165,90,37.5,0.57,0.82
233,Cluster4,"(90, 105, 105)",8,90,105,105,180,0.14,0.41
234,Cluster1,"(90, 105, 120)",8,90,105,120,210,0.25,0.47
236,Cluster2,"(45, 45, 60)",4,45,45,60,240,0.25,0.24
237,Cluster5,"(180, 135, 75)",15,180,135,75,34.29,0.58,0.71
237,Cluster3,"(120, 90, 30)",5,120,90,30,40,0.75,0.47
239,Cluster5,"(255, 240, 210)",15,255,240,210,40,0.18,1
242,Cluster1,"(165, 75, 45)",2,165,75,45,15,0.73,0.65
242,Cluster5,"(240, 225, 225)",31,240,225,225,0,0.06,0.94
243,Cluster3,"(150, 90, 60)",8,150,90,60,20,0.6,0.59
244,Cluster4,"(135, 75, 45)",8,135,75,45,20,0.67,0.53
245,Cluster3,"(150, 75, 60)",3,150,75,60,10,0.6,0.59
245,Cluster5,"(165, 105, 90)",1,165,105,90,12,0.45,0.65
246,Cluster4,"(105, 60, 15)",4,105,60,15,30,0.86,0.41
247,Cluster2,"(135, 75, 60)",3,135,75,60,12,0.56,0.53
248,Cluster2,"(165, 60, 45)",2,165,60,45,7.5,0.73,0.65
248,Cluster3,"(195, 135, 105)",3,195,135,105,20,0.46,0.76
250,Cluster4,"(180, 105, 30)",1,180,105,30,30,0.83,0.71
250,Cluster2,"(135, 60, 15)",4,135,60,15,22.5,0.89,0.53
253,Cluster5,"(180, 75, 45)",1,180,75,45,13.33,0.75,0.71
253,Cluster2,"(210, 135, 60)",1,210,135,60,30,0.71,0.82
253,Cluster4,"(225, 180, 165)",1,225,180,165,15,0.27,0.88
253,Cluster1,"(60, 60, 75)",4,60,60,75,240,0.2,0.29
254,Cluster1,"(90, 60, 60)",4,90,60,60,0,0.33,0.35
255,Cluster5,"(210, 150, 75)",2,210,150,75,33.33,0.64,0.82
258,Cluster2,"(210, 135, 0)",1,210,135,0,38.57,1,0.82
